income,credit_score,loan_amount,employment_years,zip_code,approved
32729,540,13373,0.0,33135,0
50754,606,29246,1.4,33139,1
49965,540,10360,3.9,33139,1
38173,554,42175,6.4,33146,0
63993,633,22266,0.9,33146,1
68030,616,17883,4.4,33131,0
49097,573,23958,8.2,33012,0
44209,556,16545,1.4,33012,1
67533,710,26303,0.9,33012,1
47603,548,36346,7.5,33146,0
60559,669,12275,2.8,33135,0
40582,540,15185,1.2,33131,0
70255,602,22017,7.7,33131,1
63835,607,9825,2.2,33146,1
71464,639,23863,3.9,33012,1
91070,680,10376,3.5,33146,1
45215,615,24704,1.2,33012,0
48399,604,43778,0.1,33012,0
91557,745,25136,2.4,33012,1
69232,598,40871,0.1,33135,0
73737,584,8476,0.3,33146,0
41743,540,14145,5.5,33131,1
72438,593,21415,0.1,33146,1
55446,621,34930,1.6,33012,1
89124,611,30634,3.5,33131,1
52416,540,8034,3.5,33131,0
45830,655,6572,16.8,33012,1
82070,585,18826,3.8,33139,1
105809,654,26484,5.5,33139,1
40753,550,30836,3.3,33139,0
72851,800,42790,8.4,33135,1
43839,540,29725,1.1,33012,0
80625,624,44201,3.1,33131,0
78438,661,16143,0.7,33139,1
67009,626,9481,5.0,33135,1
58774,590,33533,1.0,33012,0
92998,670,44460,2.4,33146,1
55558,569,14489,2.3,33135,1
81267,679,17947,5.1,33146,1
63740,613,12080,3.4,33146,0
28000,540,23431,5.3,33131,0
65074,668,34644,6.4,33146,1
35436,540,19023,0.1,33135,0
51112,551,25806,0.5,33131,1
90055,633,36566,2.8,33146,1
69706,598,12249,2.7,33146,0
56166,615,21139,6.3,33135,0
33753,540,19326,9.2,33012,0
65692,586,16403,11.7,33135,0
80308,638,30116,0.5,33146,1
58152,649,5802,0.1,33139,1
68823,660,24245,0.4,33135,1
57317,546,44988,6.7,33146,1
42189,602,28473,0.9,33146,1
38626,540,18099,13.0,33131,1
93292,678,6634,10.2,33135,1
66549,574,14838,0.7,33012,1
62102,636,29730,3.1,33146,1
60457,661,11174,0.1,33131,1
67922,655,19818,1.6,33146,1
46925,540,29424,0.9,33012,0
67221,626,24380,2.0,33146,1
99045,702,6151,3.0,33012,1
66839,655,23021,2.3,33012,1
37583,567,13518,1.5,33131,0
77038,631,40621,2.1,33131,1
59687,616,41166,1.7,33139,1
31703,540,42181,2.3,33139,0
63941,595,7443,3.6,33012,1
46334,540,29230,3.0,33131,1
54298,622,42063,5.1,33012,0
