restaurant_name,seating_capacity,avg_meal_price,yelp_rating,num_employees,years_open,monthly_revenue
Sabor de Casa,71,16.92,3.0,20,22,37533
Café Cubano Express,112,33.28,3.6,30,11,47630
La Ventanita,34,30.57,3.8,8,16,40111
El Rincón de Abuela,91,38.83,4.4,31,16,58824
Biscayne Bites,80,14.41,4.9,28,1,40901
Calle Ocho Kitchen,40,22.47,4.1,8,9,31842
Tropical Grill Co,102,14.74,4.0,22,6,46815
Havana Nights Café,106,35.95,3.2,26,16,46359
The Plantain Press,94,23.73,2.9,23,3,36802
Coral Gables Eatery,94,15.69,3.9,33,20,48927
Little Havana Bistro,107,29.0,3.9,20,4,47814
Coconut Grove Café,119,9.16,4.2,18,19,49148
Wynwood Tacos,43,39.16,4.2,11,3,40435
Doral Family Kitchen,22,24.64,4.0,4,19,35591
Hialeah Hot Plate,41,22.62,2.9,9,20,41303
Bayside Seafood Shack,72,42.29,4.3,22,7,45805
South Beach Sushi,21,34.91,3.7,6,20,35567
Kendall Comfort Food,107,20.08,3.2,23,9,43414
Overtown Soul Kitchen,49,29.11,3.6,13,1,34559
Flagler Street Deli,57,27.27,3.0,14,8,38264
MiMo District Grill,21,43.56,3.6,6,7,30195
Palmetto Bay Café,83,39.25,4.3,17,18,53630
Sweetwater Bakery,79,35.65,3.6,21,8,43308
The Cuban Spoon,40,27.97,3.3,14,1,35022
Versailles Express,52,29.71,3.6,13,11,39344
Golden Croqueta,95,43.71,4.1,31,18,56383
Miami River Grill,77,30.46,3.0,18,23,44200
Key Biscayne Catch,41,18.21,3.2,9,10,34046
Sunset Empanadas,108,18.96,3.9,30,3,50671
Midtown Noodle Bar,68,14.11,3.1,19,7,33049
The Mango Stand,110,8.58,5.0,36,16,51423
Edgewater Eats,78,23.67,3.7,15,16,43098
Allapattah Grill,61,22.61,3.3,15,20,45611
Liberty City Kitchen,111,18.86,3.3,29,17,46693
Bird Road Bistro,79,8.52,3.5,24,2,33751
Design District Plates,99,15.36,3.5,16,1,39225
FIU Campus Café,34,34.32,2.5,12,16,34092
MDC Student Grill,81,37.24,4.6,20,12,48509
Dadeland Diner,81,30.42,3.8,17,5,42779
Homestead Harvest,66,42.27,3.8,22,5,44619
North Miami Rotisserie,81,32.09,4.3,24,23,51356
Aventura Fresh,70,41.85,3.2,24,9,46057
Pinecrest Poke,74,39.45,3.3,16,9,43124
The Arepas House,83,24.63,4.1,22,3,42783
Brickell Brunch Co,22,11.53,3.8,6,19,33555
Westchester Wok,70,21.72,4.0,24,16,50564
Opa-Locka Grill,26,32.75,3.8,4,16,35504
El Portal Café,40,32.64,3.7,8,3,41830
Sunny Isles Sushi,92,29.88,4.7,17,20,50279
Surfside Smoothie Bar,58,18.16,4.4,12,24,45466
Miami Springs Deli,37,28.77,2.3,9,22,33634
Lemon City Café,23,22.17,4.7,5,24,38236
Buena Vista Bistro,108,43.95,5.0,25,1,57824
Morningside Eats,79,39.41,4.5,25,24,56072
Shenandoah Grill,33,34.7,3.7,11,20,38971
Brownsville BBQ,28,16.73,3.4,5,11,24841
Model City Kitchen,109,17.47,4.2,21,17,49627
The Fritas Factory,72,9.5,3.4,20,8,36752
Domino Park Café,21,34.29,4.0,5,4,34557
Miracle Mile Grill,103,12.1,3.8,21,6,45832
