Player,Team,Position,Games,Points_Per_Game,Rebounds_Per_Game,Assists_Per_Game,Steals_Per_Game,FG_Pct,Three_Pct,Minutes_Per_Game
Marcus Johnson,ATL,PG,77,25.5,1.2,4.9,2.0,0.414,0.44,32.8
Jaylen Williams,MIL,SF,54,18.4,4.7,1.7,0.5,0.611,0.32,22.5
Damian Brown,NYK,C,67,17.5,4.9,3.8,0.8,0.485,0.421,34.0
Anthony Davis,MIN,PF,67,15.1,4.3,2.4,0.4,0.523,0.414,33.2
Kevin Thompson,SAC,PG,46,26.3,2.5,11.0,1.9,0.425,0.422,36.3
Devin Mitchell,DEN,C,68,28.2,8.8,0.7,1.4,0.547,0.412,34.9
Jamal Murray,SAC,SG,77,16.2,4.4,1.5,1.3,0.584,0.398,35.0
Tyrese Haliburton,MIN,C,61,33.0,9.9,4.8,1.3,0.475,0.315,33.4
Jalen Green,PHX,PF,80,16.2,3.6,3.7,2.0,0.522,0.391,25.8
Darius King,LAL,SG,73,30.4,5.9,4.0,0.7,0.527,0.357,35.4
Isaiah Thomas,LAL,PF,79,16.0,4.9,1.3,2.0,0.577,0.398,26.2
Cameron Martin,NYK,PF,64,7.1,3.2,3.7,1.9,0.435,0.386,22.5
Andre Brooks,LAL,SF,63,14.3,5.4,0.9,1.0,0.589,0.423,21.1
Brandon Ellis,PHX,PG,68,13.8,3.1,5.8,2.0,0.476,0.37,24.7
Malik Howard,GSW,C,52,18.3,8.2,4.9,0.4,0.438,0.414,28.3
Derrick Rose,DEN,C,70,10.8,3.5,4.9,1.0,0.403,0.288,24.6
Christian Walker,MIN,C,55,28.4,10.8,4.5,2.0,0.39,0.408,36.8
Jordan Poole,DAL,C,61,13.6,5.4,4.1,1.4,0.558,0.321,20.9
Miles Bridges,OKC,C,46,15.8,10.4,2.4,1.8,0.426,0.281,32.8
Trey Young,MIA,SG,53,18.7,1.9,4.0,1.3,0.595,0.356,33.6
Josh Hart,MIN,C,60,27.0,11.5,2.5,0.5,0.56,0.409,30.3
Caleb Knox,MIL,SF,72,22.5,4.0,1.8,2.0,0.524,0.317,36.3
Zion Williamson,BOS,SF,70,24.7,3.4,1.9,1.6,0.525,0.352,24.6
RJ Barrett,PHX,SF,61,22.4,4.7,4.4,0.7,0.387,0.296,29.1
Desmond Bane,NOP,PG,60,18.9,2.6,8.7,0.8,0.599,0.321,27.6
Tre Jones,NYK,C,79,12.8,6.4,4.7,1.0,0.45,0.325,22.4
Coby White,PHI,C,77,7.1,7.0,2.4,1.1,0.458,0.36,21.3
Keldon Johnson Jr,NOP,C,54,17.3,3.9,3.7,1.4,0.519,0.343,30.7
Anfernee Simons,MIL,SG,65,13.6,1.9,1.4,1.3,0.586,0.352,35.3
Evan Mobley,CLE,C,79,14.0,7.7,2.6,1.0,0.451,0.315,19.4
Cole Anthony,NYK,C,45,12.5,10.9,4.2,2.0,0.433,0.282,34.2
Scottie Barnes,CLE,PF,61,11.7,6.3,2.9,0.6,0.476,0.429,24.8
Franz Wagner,PHI,C,54,13.5,2.3,3.4,1.6,0.39,0.384,23.5
Jabari Smith,OKC,PG,58,13.9,4.6,5.3,0.9,0.587,0.439,19.4
Cade Cunningham,MIN,SF,57,30.3,2.9,4.5,0.7,0.62,0.34,37.9
Jett Howard,MIL,SG,61,8.0,4.6,3.8,0.7,0.506,0.394,18.2
Ayo Dosunmu,SAC,SF,71,22.5,3.6,3.6,2.2,0.457,0.298,32.0
Bones Hyland,PHX,PG,72,18.6,5.7,7.4,2.0,0.547,0.354,29.1
Herb Jones,NOP,PG,70,19.9,3.1,4.6,1.1,0.424,0.419,23.6
Keegan Murray,GSW,SF,66,19.4,2.3,2.7,2.1,0.486,0.296,31.0
Walker Kessler,LAL,C,54,13.6,9.6,3.6,1.3,0.616,0.33,28.0
Patrick Baldwin,MIL,C,52,18.9,3.2,2.9,1.7,0.499,0.327,24.0
Immanuel Quickley,BOS,PF,60,13.2,6.4,2.8,2.1,0.452,0.353,18.6
Max Strus,GSW,SF,48,20.9,4.6,4.3,1.4,0.438,0.381,32.3
Dillon Brooks,MIA,SG,49,14.7,2.8,0.6,1.7,0.616,0.424,28.2
Tyler Herro,MIA,SF,73,27.9,4.9,2.7,1.1,0.453,0.365,35.3
Austin Reaves,SAC,SG,72,10.9,2.5,0.9,1.0,0.617,0.364,24.1
Luguentz Dort,PHX,SF,70,25.0,1.4,0.5,1.3,0.443,0.344,37.4
Nassir Little,MIA,PF,66,24.9,5.5,3.4,0.8,0.475,0.361,31.5
Ziaire Williams,NOP,SF,50,13.7,1.2,1.3,1.5,0.528,0.354,25.6
Ochai Agbaji,MIL,SF,51,16.4,5.8,3.9,1.2,0.608,0.42,23.2
Bennedict Mathurin,LAL,PF,63,19.0,3.4,1.5,0.5,0.547,0.302,26.6
Jonathan Kuminga,OKC,PF,55,21.0,7.7,1.7,1.1,0.55,0.32,25.8
Mark Williams,CLE,PG,59,12.5,4.4,10.9,1.0,0.566,0.427,27.5
Jaden McDaniels,NYK,SF,56,20.5,5.1,1.4,1.1,0.56,0.364,32.5
Davion Mitchell,DEN,SG,74,8.1,5.9,0.9,1.6,0.544,0.312,21.4
Quentin Grimes,BOS,SF,46,21.5,2.9,3.3,1.8,0.573,0.349,25.6
Terance Mann,SAC,PG,70,10.4,4.8,4.3,0.4,0.403,0.428,26.4
Tari Eason,CLE,SF,73,21.2,2.2,3.8,1.3,0.448,0.283,32.6
Dyson Daniels,PHX,SF,48,18.4,4.8,2.3,1.5,0.546,0.349,24.9
Gradey Dick,MIN,PG,61,16.3,2.4,4.8,0.7,0.413,0.284,18.2
Keyonte George,NOP,PG,66,16.6,4.4,10.6,0.7,0.607,0.342,35.6
Leonard Miller,MIA,PG,68,23.1,5.0,9.3,1.6,0.422,0.292,22.6
Trayce Jackson-Davis,MIN,PF,57,17.6,2.8,3.0,1.0,0.43,0.4,23.0
Kobe Bufkin,NOP,C,47,27.9,9.7,1.1,1.5,0.513,0.372,32.4
Bryce McGowens,ATL,C,64,14.8,11.9,4.5,0.8,0.564,0.395,31.0
Jace Howard,PHI,PF,59,17.7,6.2,3.2,2.0,0.404,0.428,25.4
Dalton Knecht,NOP,SG,68,11.5,3.9,5.0,2.1,0.559,0.426,24.5
Julian Strawther,PHI,C,79,18.3,10.6,1.3,1.4,0.423,0.367,27.2
Naz Reid,PHX,SF,61,30.5,5.0,1.3,1.4,0.577,0.4,30.6
Jevon Carter,SAC,SF,71,20.6,1.2,0.7,1.0,0.586,0.377,37.1
Reggie Jackson,DEN,SF,67,16.9,3.4,2.4,0.7,0.593,0.292,28.7
Gabe Vincent,LAL,PF,77,6.3,9.5,5.0,1.8,0.494,0.333,18.2
Dennis Schroder,DAL,C,79,15.4,3.4,2.7,1.5,0.483,0.362,26.1
Alex Caruso,OKC,PF,55,10.1,4.2,2.9,1.8,0.537,0.308,23.9
Victor Wembanyama,SAC,SG,77,26.3,5.5,1.3,0.9,0.523,0.299,30.7
Nick Richards,LAL,C,73,7.6,6.5,3.5,0.9,0.559,0.361,21.3
Grant Williams,DAL,SG,79,12.7,1.2,3.4,1.1,0.439,0.281,21.2
Aaron Gordon,SAC,SF,60,25.8,4.6,4.1,1.8,0.404,0.378,36.6
Sam Hauser,NYK,PF,65,35.2,4.5,2.1,0.7,0.612,0.312,36.7
