months_subscribed,monthly_charges,support_tickets,usage_hours,churned
9,58.66,0,7.6,1
30,55.73,1,16.3,0
10,29.34,2,1.0,1
24,52.28,2,41.2,1
43,76.17,2,29.3,1
26,22.93,2,49.2,0
27,58.28,4,1.0,1
12,55.29,3,18.2,1
2,38.41,0,24.5,0
12,59.06,2,26.9,0
16,50.3,0,22.5,0
10,71.68,2,18.4,0
42,59.75,2,10.8,0
23,51.44,5,17.2,1
4,58.3,1,27.0,1
46,10.07,3,20.8,0
6,55.54,2,16.5,0
5,39.79,1,28.0,0
47,71.94,3,13.2,0
30,27.88,2,16.0,0
31,41.8,2,23.7,0
45,74.98,0,25.8,0
25,24.04,2,27.7,0
28,67.07,5,50.0,1
24,28.55,1,21.2,0
21,32.33,0,11.9,0
47,68.69,2,1.0,1
44,76.73,0,37.1,0
11,49.25,2,42.6,0
39,13.18,1,37.5,0
47,53.59,0,1.0,1
7,41.7,3,14.9,0
37,41.33,5,6.7,1
29,36.66,2,25.9,0
18,10.8,1,47.7,0
34,54.16,3,8.5,1
15,61.13,2,30.3,1
31,31.17,2,32.1,0
8,46.78,1,34.2,1
12,26.28,4,25.8,1
35,23.66,4,33.8,0
45,79.1,4,32.7,0
24,53.79,6,36.5,0
29,61.69,1,33.9,0
9,71.06,2,8.7,1
47,40.58,3,19.8,0
19,42.36,0,20.9,0
23,72.34,1,14.5,1
37,28.62,3,6.4,0
36,41.24,1,8.0,0
24,74.11,2,39.7,0
9,11.62,2,14.0,0
4,46.45,1,35.9,0
24,61.54,5,16.5,1
25,25.56,1,26.9,0
30,61.27,1,35.9,0
38,11.24,3,9.5,0
29,35.17,3,51.0,0
11,27.22,2,33.3,0
40,54.17,1,18.9,1
10,67.65,0,18.8,0
13,48.28,3,34.6,0
21,53.44,2,24.7,0
41,63.27,3,34.7,0
20,66.45,1,11.5,1
6,34.95,2,29.1,1
12,74.21,1,24.6,1
7,75.95,1,13.8,1
39,45.28,1,14.7,1
12,37.66,3,12.2,1
21,19.13,4,32.3,0
5,58.37,2,5.9,0
37,61.4,4,26.6,0
35,62.63,0,28.3,0
18,37.19,0,28.0,1
8,73.74,2,28.8,0
5,24.0,0,20.5,0
16,42.4,1,44.8,0
16,14.35,1,11.3,1
40,79.47,5,7.9,1
13,15.22,4,24.0,0
14,44.39,4,30.1,1
32,72.45,0,32.6,0
30,34.95,1,33.7,0
46,43.44,2,33.1,0
39,18.36,6,19.8,1
1,17.05,0,18.6,0
20,73.69,1,46.1,0
14,71.56,0,8.9,0
23,20.48,4,6.4,0
24,65.98,1,41.2,0
20,48.36,0,36.4,0
11,52.23,1,16.7,0
10,11.65,3,24.7,0
41,37.32,3,50.6,0
1,35.8,3,11.0,1
28,35.83,3,22.7,1
15,73.27,4,41.2,1
13,26.77,2,23.5,0
38,21.37,1,26.9,0
20,56.03,2,13.0,0
47,41.54,3,20.6,0
8,40.63,1,36.9,0
8,69.67,1,1.0,0
14,14.71,1,12.6,0
30,45.78,3,11.8,1
18,28.48,2,19.9,0
19,77.71,2,31.7,0
14,63.23,2,16.3,1
34,12.15,4,9.0,0
44,17.73,2,12.6,0
16,78.78,2,26.3,0
1,33.93,4,16.5,1
36,50.56,3,10.5,0
11,52.64,4,37.9,1
41,37.62,0,21.8,0
25,51.44,1,25.5,0
10,25.65,1,27.2,0
4,60.36,0,10.1,1
32,73.96,3,54.5,0
4,31.8,2,12.1,1
38,57.92,4,34.5,1
5,70.46,4,11.9,1
19,75.16,0,31.9,0
41,59.87,1,7.6,1
9,35.35,2,43.7,0
6,31.59,0,4.7,0
23,22.88,1,24.1,1
19,50.65,1,16.1,1
20,65.97,3,19.1,1
25,65.51,2,33.8,1
31,17.35,1,31.9,0
22,70.38,3,1.0,1
4,54.99,3,9.9,1
1,46.19,2,21.1,1
37,33.56,3,20.8,0
12,26.68,1,11.3,0
22,52.62,3,32.6,1
36,71.35,2,17.6,0
44,70.02,0,26.8,0
21,22.38,3,18.7,0
40,64.62,2,11.6,0
28,76.03,1,18.1,1
3,25.86,1,19.6,0
6,10.37,0,18.6,0
40,15.94,2,16.6,0
47,38.49,1,10.7,0
36,31.93,0,18.7,0
29,69.16,1,32.7,1
38,35.96,2,20.2,0
